measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1982,0.005096045486788176,0.00711999227589176,0.003685012751265624
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,5.448066503779637,7.68933549908467,3.9472739089631736
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,314191.4668931443,327097.9148996752,303825.2623510901
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1981,0.03808955697650843,0.03963347742419445,0.036860203013605854
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,38.70014045202926,40.28987602164429,37.423296189838
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,274978.8755385088,352608.92660983274,233226.245403607
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1980,0.020822212660957004,0.026348789652120248,0.01769644217931549
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,17.685961613514902,22.678934621400963,15.000535642581557
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,310886.94783858093,322966.28633433854,301260.8248657759
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1980,0.03764974118837016,0.039082230396631314,0.036493449067415654
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,38.543876986279535,40.041477771044065,37.35042675526101
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,35658.853999735875,36802.09716574881,34414.79117524582
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1981,0.01388291002545853,0.014335570736799478,0.013393456952461075
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,9.602802603879066,9.91067392390347,9.267780908271838
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,294131.5507755318,370827.84907542524,254355.98059834828
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1982,0.022550729016839903,0.028196188498997764,0.01943844018785784
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,18.24980524788997,23.008534814699754,15.781874121686688
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,24926.525096128436,33578.54025262409,18767.186186843635
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1981,0.002196265099636194,0.0029720880303072002,0.0016465558110812372
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,2.678562383994023,3.608293353495857,2.016690203693866
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,34985.21020994089,36226.15413952573,33718.507242478285
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1980,0.013417358734890075,0.013868030248155609,0.012920126908875154
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,9.623611001671428,9.964965579264241,9.275170716751857
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,13300.227884823826,17721.26229027215,9619.827269998148
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1981,0.002105271942573159,0.0028047340558297234,0.0015234745683299178
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,3.3463303672453306,4.458660307281098,2.4203435008794933
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,317844.0464561368,331117.9070843269,306758.0136939669
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1982,0.038679807592486064,0.04029858333864015,0.037346397184478214
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,38.8960198416949,40.52040246621331,37.53937165183318
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,133226.2892703084,138295.0075892387,127745.38993075423
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1981,0.06196411689627762,0.06435836288252213,0.0594256966000857
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,51.853353707099146,53.82616286715823,49.720118490209806
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,13100.24230630318,17310.358988518405,9595.503278469654
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1980,0.002113218899260053,0.0027908491451443342,0.001540695773482036
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,3.3882094903318953,4.477102120296671,2.4817537349655567
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1984,310425.92263394373,390307.3790125395,269107.4558945899
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1984,0.023840740064183286,0.029631211400946253,0.020715383647159316
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1984,18.544145359289697,23.31608362406932,16.07587322938422
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,10321.458799205502,14467.090853544743,7523.631377980787
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1980,0.005063321881911261,0.007092446795253747,0.0036860683805541214
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,5.432463299215746,7.614421724412755,3.959890954644388
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,10693.062187698342,14978.341621360169,7756.6855207040435
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1981,0.005177908728811254,0.0072472067772909555,0.003756370510781345
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,5.437579653945024,7.6167073772229745,3.9443888597181083
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1983,302737.02285744186,377039.1482555365,263030.3772218573
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1983,0.023187190349076542,0.028824828363304744,0.020132522822737496
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,18.43681393286054,22.961845089772662,16.018662262570682
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,130447.30242196619,135600.57856377927,124620.74304566844
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1980,0.06041031433691986,0.06277590868096043,0.05771937290226273
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,51.26531268888867,53.29053136246202,48.97549616696431
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1984,332699.70357012993,345051.03357367526,321837.25353141787
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1984,0.03941639248520906,0.04087070586493089,0.038151069419477705
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1984,40.18591808486227,41.67780259944208,38.873871447091275
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1985,352722.3738874059,364491.6296002511,340784.50554960244
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1985,0.04147029494116196,0.042847342668808894,0.04010600850205614
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1985,42.33727847465728,43.749942636169294,40.90437573406528
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1983,326759.66782095196,340143.594736935,315439.7166531173
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1983,0.03896558884300336,0.04056450989166544,0.03761913110152598
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,39.71755529353601,41.3443682379704,38.34161808125143
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,24633.94805724713,33355.005172352554,18220.160410778255
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1980,0.0021466120878544832,0.0029009183389997273,0.0015778061595541587
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,2.7095285794440214,3.668772036539402,2.004065496944753
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1984,40377.78748092277,41646.68828084841,39041.36271850567
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1984,0.015486586845982583,0.015968230376616637,0.014960316408730022
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1984,10.24480542980794,10.566755754874855,9.905722668797095
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1983,38592.2493564741,39714.65606030542,37290.35794503096
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1983,0.014980312827914295,0.015425281592158504,0.014450223633806457
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,9.980607436005823,10.270880765010482,9.643916330444707
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1985,41557.39588121397,42871.930755313595,40150.011321551865
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1985,0.01585866258574025,0.01637219201979338,0.015329689142400023
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1985,10.348640496814602,10.675986533401364,9.998172991816418
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1984,13970.953153803244,18130.836170991617,10348.815208370523
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1984,0.002024176642444121,0.002612568112146007,0.0014898579116374236
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1984,3.2339404553769087,4.196853567375903,2.395502425577783
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1983,13771.386878752437,18073.58526657947,10157.827072048442
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1983,0.0020555114510496047,0.002685422890739811,0.001509050305194851
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,3.2777287044244727,4.301695228062419,2.4176650951548435
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1985,14254.21507178401,18080.35311216537,10506.761895863756
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1985,0.002084659801814372,0.0026488048304636625,0.0015312320683845435
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1985,3.208015707177719,4.069116151471589,2.3646238690636485
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1984,11931.753785445742,16877.81581756893,8811.01246980034
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1984,0.006008916929238434,0.008484203418638906,0.004455388126732562
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1984,5.465571601199902,7.731211394531897,4.036055419740618
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1986,335565.3476459734,419173.06141118554,293978.55350304814
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1986,0.02586818258043829,0.03241808666632457,0.022771368892701885
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1986,19.274783793597383,24.077188504353217,16.886049463915043
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1987,353042.6128952118,445208.0756056458,307981.57361146185
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1987,0.02692375661426976,0.03370145095233727,0.023614606141718984
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1987,19.89488528902285,25.08865295688801,17.355576506429927
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1983,11499.036114629069,16279.645242232009,8392.156717318438
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1983,0.005569989774135201,0.007892786857701447,0.004067404722872091
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,5.440879453832791,7.70287060856006,3.9708296070583877
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1986,351508.67566139257,362420.5229136928,340332.3823318228
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1986,0.042232589248550126,0.04357401703641964,0.04089337089171053
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1986,41.93448396306295,43.23625178642603,40.601168099625184
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1985,12552.976965247053,17834.895596054677,9299.831438860689
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1985,0.006399960653065044,0.009000237916349825,0.004752157529149751
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1985,5.572740904338642,7.917584210335317,4.128546655209566
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1986,42513.770463675995,43964.515843774636,41082.43195650465
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1986,0.016418685504930843,0.01701480271455666,0.01588783514660957
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1986,10.393958104613457,10.748642869967076,10.04401801897061
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1985,321974.841430302,399615.71914634306,280214.0690732394
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1985,0.024801629057216903,0.030877613763644084,0.021754542175619986
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1985,18.859511624192127,23.407286317685145,16.413395746924888
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1987,355516.5243051289,367636.1697134715,343290.5534110808
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1987,0.04296845242991491,0.044424204496210117,0.04152521923801612
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1987,42.1508189816582,43.58775072689117,40.701281053604674
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,137646.35776334294,142618.43256373177,132294.94028459312
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1982,0.0640316821149241,0.06634169169178732,0.061508606464668075
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,53.057011031044425,54.97354141962886,50.9942596381604
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1988,375643.0155974013,475121.88121706515,329501.5250886505
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1988,0.028124284936926033,0.03500074194899243,0.02485035843211884
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1988,20.78217443726719,26.28576974527914,18.229430303256468
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1986,14510.781625304042,18093.431174524245,10667.778642547277
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1986,0.00210304885586,0.0026293119240861557,0.0015415675345468176
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1986,3.1738123888033964,3.95741301195851,2.3332670073187347
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1987,43863.35017975339,45352.105107214535,42326.99589610756
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1987,0.016862550715288173,0.017461021509865508,0.016311893454602554
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1987,10.530696980010367,10.888116715492103,10.161849608600889
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1988,363765.5278995003,375952.1884871708,351668.0290784898
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1988,0.04348033332286072,0.044953473320554646,0.04201492030489244
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1988,42.87621794577745,44.31263199634834,41.450313190471086
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1986,13021.221120182996,18431.178582971752,9815.74466055896
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1986,0.006458714159391946,0.009084228122637266,0.004885937853170188
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1986,5.6118230667240745,7.94338043753135,4.230342284704578
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1987,14809.906865943854,18712.48390705436,10973.336977862744
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1987,0.002106520234815534,0.0026664856489129747,0.001569634005459429
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1987,3.148740558869169,3.9784691131866583,2.3330458132582717
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1987,13372.988427163153,18797.22819594793,10144.055840357802
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1987,0.007062216408664052,0.00990923871604135,0.0053537295917498815
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1987,5.599186371133888,7.870281538273343,4.247252550819811
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1988,45147.13554571065,46913.195307502094,43628.38560307409
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1988,0.017218558653768718,0.017868223835227987,0.016641197592134015
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1988,10.644119236771145,11.060494505247243,10.286050994237906
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1988,15150.376439664635,19700.489819601644,11375.154623178913
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1988,0.0021156546979482723,0.00273836295781511,0.0015901535873007544
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1988,3.1311982341952977,4.07159117013231,2.350955714641287
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1989,397658.2748193889,499769.2281146776,349439.5254159999
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1989,0.0292325206074367,0.0360851031180358,0.025683658884597067
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1989,21.622112760570687,27.17425309322911,19.000285672357048
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1988,13720.881758929481,19180.897450191736,10406.569404157166
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1988,0.007462709465579734,0.010402244177260692,0.005642880678430627
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1988,5.585765444769685,7.808535636365043,4.236510218339919
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1989,369762.73831677047,381457.4400647539,356714.51483844715
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1989,0.043956886902545206,0.04532387157592173,0.04237432166631599
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1989,43.34937249011477,44.72040837258877,41.819655616881526
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1990,419188.301907894,512487.846541193,369824.6528346507
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1990,0.03043539962628265,0.037168758119441175,0.026766548199152508
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1990,22.43368033385567,27.426787608250983,19.791888283883104
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1989,46030.83180107686,47815.22264149005,44185.00374209795
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1989,0.017591064867449328,0.018308131556747764,0.016925938992471145
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1989,10.65818005804213,11.07134571520934,10.23078895866332
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1990,387579.87604141864,399979.1152806685,374067.7377384309
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1990,0.045284979232336896,0.046744525847950955,0.043751688434503735
Deaths,Europe & Central Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1990,45.225639412139664,46.672472845667194,43.648944819996885
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1989,15506.807829245196,20145.45859767013,11564.215566822735
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1989,0.002117187381368451,0.0027413166245752016,0.001580335750547743
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1989,3.1148820846965126,4.046656717801894,2.3229260521775643
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1990,47047.71745113145,48963.24451901789,45390.47290225548
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1990,0.01801457658974046,0.01874310932536178,0.01738477947825135
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1990,10.696402140406398,11.131901436418568,10.319623943713092
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1989,14151.72727240725,19620.906590720788,10743.881300307974
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1989,0.008162689960841843,0.011302450512834877,0.006193930427875689
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1989,5.612603901933918,7.781691575224088,4.261045238314998
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1990,15942.704350637454,20799.829409762027,11742.28442228696
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1990,0.0021203138992762324,0.0027627760241350206,0.0015596637311244372
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1990,3.1125694063375104,4.060848853116686,2.292501601327291
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1990,14755.85734821548,20050.313551611143,11282.610132507116
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1990,0.0085012015968071,0.011546190319495175,0.006460472374290405
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1990,5.70900501303971,7.757417131239021,4.365214184890822
Deaths,North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1984,146681.51619580408,152762.56120110248,140480.30735693962
